Currency Pair,Height,Price
vETH/VRSC,2757830,1446.2961827788622
vETH/VRSC,2757860,1368.269042538316
vETH/VRSC,2757890,590.9030996559201
vETH/VRSC,2757920,601.6682002613636
vETH/VRSC,2757950,718.1270159020718
vETH/VRSC,2757980,718.1270159020718
vETH/VRSC,2758010,718.1270159020718
vETH/VRSC,2758040,718.1270159020718
vETH/VRSC,2758070,714.7894449667994
vETH/VRSC,2758100,714.7894449667994
vETH/VRSC,2758130,713.8157453039937
vETH/VRSC,2758160,707.2796359543304
vETH/VRSC,2758190,705.5807036442154
vETH/VRSC,2758220,729.619396381753
vETH/VRSC,2758250,868.1688058438249
vETH/VRSC,2758280,868.1688058438249
vETH/VRSC,2758310,868.1688058438249
vETH/VRSC,2758340,868.6015023131005
vETH/VRSC,2758370,869.3768911159627
vETH/VRSC,2758400,859.4595415637605
vETH/VRSC,2758430,1253.6418937088672
vETH/VRSC,2758460,1347.9735050597976
vETH/VRSC,2758490,1352.6900856273442
vETH/VRSC,2758520,1352.6900856273442
vETH/VRSC,2758550,1298.5817470346065
vETH/VRSC,2758580,1298.5817470346065
vETH/VRSC,2758610,1275.480675812737
vETH/VRSC,2758640,1267.58911649436
vETH/VRSC,2758670,1267.58911649436
vETH/VRSC,2758700,1267.58911649436
vETH/VRSC,2758730,1267.58911649436
vETH/VRSC,2758760,1264.9049147349403
vETH/VRSC,2758790,1355.3322043181543
vETH/VRSC,2758820,1439.7485349677881
vETH/VRSC,2758850,1924.2931529638606
vETH/VRSC,2758880,1685.676481654412
vETH/VRSC,2758910,1738.7264316803064
vETH/VRSC,2758940,1461.2708009900375
vETH/VRSC,2758970,1470.3925818156013
vETH/VRSC,2759000,1570.4882221566727
vETH/VRSC,2759030,1658.980829207504
vETH/VRSC,2759060,1649.7109330344636
vETH/VRSC,2759090,1649.7109330344636
vETH/VRSC,2759120,1654.7431908097508
vETH/VRSC,2759150,1654.7096786486882
vETH/VRSC,2759180,1668.2195285069388
vETH/VRSC,2759210,1678.1266766391295
vETH/VRSC,2759240,1678.1379185675776
vETH/VRSC,2759270,1664.623567405419
vETH/VRSC,2759300,1695.040867489507
vETH/VRSC,2759330,1753.6268949147463
vETH/VRSC,2759360,1827.6032448239778
vETH/VRSC,2759390,1818.205856595639
vETH/VRSC,2759420,1723.562915687396
vETH/VRSC,2759450,1727.256783824728
vETH/VRSC,2759480,1692.718586842236
vETH/VRSC,2759510,1692.699697883833
vETH/VRSC,2759540,1694.9462837547835
vETH/VRSC,2759570,1694.6443715580374
vETH/VRSC,2759600,1693.9375818262258
vETH/VRSC,2759630,1697.943004596731
vETH/VRSC,2759660,1702.6982893673503
vETH/VRSC,2759690,1707.7025651327938
vETH/VRSC,2759720,1786.8451186131388
vETH/VRSC,2759750,1875.8324682005239
vETH/VRSC,2759780,1817.0192126070474
vETH/VRSC,2759810,1841.938145037801
vETH/VRSC,2759840,1848.1720431836086
vETH/VRSC,2759870,1887.7171119793597
vETH/VRSC,2759900,1887.7171119793597
vETH/VRSC,2759930,1901.577272347613
vETH/VRSC,2759960,1901.577272347613
vETH/VRSC,2759990,1901.4341935103296
vETH/VRSC,2760020,1943.9665907417473
vETH/VRSC,2760050,1999.516260504202
vETH/VRSC,2760080,2011.420647587039
vETH/VRSC,2760110,2009.5235960453106
vETH/VRSC,2760140,2005.665013377044
vETH/VRSC,2760170,2023.0588900082817
vETH/VRSC,2760200,2040.5894654020974
vETH/VRSC,2760230,2080.575543482203
vETH/VRSC,2760260,2070.9314152212255
vETH/VRSC,2760290,2094.5659138674428
vETH/VRSC,2760320,2103.371337176112
vETH/VRSC,2760350,2103.6979091390854
vETH/VRSC,2760380,2103.6987257310784
vETH/VRSC,2760410,2103.6987257310784
vETH/VRSC,2760440,2080.883396232761
vETH/VRSC,2760470,2112.328203305662
vETH/VRSC,2760500,2123.2039372101904
vETH/VRSC,2760530,2131.7601645518002
vETH/VRSC,2760560,2197.4376140063755
vETH/VRSC,2760590,2195.1590968253618
vETH/VRSC,2760620,2195.1590968253618
vETH/VRSC,2760650,2195.1590968253618
vETH/VRSC,2760680,2195.1590968253618
vETH/VRSC,2760710,2197.192829674342
vETH/VRSC,2760740,2195.4278391666267
vETH/VRSC,2760770,2116.880936761372
vETH/VRSC,2760800,2116.882245699665
vETH/VRSC,2760830,2129.86748069065
vETH/VRSC,2760860,2129.878805787257
vETH/VRSC,2760890,2152.198941975964
vETH/VRSC,2760920,2225.8112763652016
vETH/VRSC,2760950,2247.992565754492
vETH/VRSC,2760980,2271.6282711765475
vETH/VRSC,2761010,2271.628936277565
vETH/VRSC,2761040,2271.628936277565
vETH/VRSC,2761070,2271.4861995543697
vETH/VRSC,2761100,2274.992177885627
vETH/VRSC,2761130,2274.992133315175
vETH/VRSC,2761160,2274.992133315175
vETH/VRSC,2761190,2296.6221404096023
vETH/VRSC,2761220,2287.5054971449513
vETH/VRSC,2761250,2286.332834117638
vETH/VRSC,2761280,2286.332834117638
vETH/VRSC,2761310,2297.7003096787607
vETH/VRSC,2761340,2316.4554767338645
vETH/VRSC,2761370,2276.1942006369895
vETH/VRSC,2761400,2298.8987092836082
vETH/VRSC,2761430,2315.860756935785
vETH/VRSC,2761460,2315.860756935785
vETH/VRSC,2761490,2343.7819106208494
vETH/VRSC,2761520,2343.7819719660583
vETH/VRSC,2761550,2343.4388328110012
vETH/VRSC,2761580,2343.4388328110012
vETH/VRSC,2761610,2343.4388328110012
vETH/VRSC,2761640,2343.4388328110012
vETH/VRSC,2761670,2343.4417274046177
vETH/VRSC,2761700,2354.8077616057067
vETH/VRSC,2761730,2354.8077616057067
vETH/VRSC,2761760,2400.48225283226
vETH/VRSC,2761790,2400.0473425636446
vETH/VRSC,2761820,2400.0443545167855
vETH/VRSC,2761850,2402.9497484928293
vETH/VRSC,2761880,2402.9497484928293
vETH/VRSC,2761910,2402.943528336928
vETH/VRSC,2761940,2402.943528336928
vETH/VRSC,2761970,2403.3013647907833
vETH/VRSC,2762000,2477.179906853295
vETH/VRSC,2762030,2480.808092037749
vETH/VRSC,2762060,2513.509517070985
vETH/VRSC,2762090,2523.072896292941
vETH/VRSC,2762120,2561.330542210723
vETH/VRSC,2762150,2561.330539653969
vETH/VRSC,2762180,2471.660903820724
vETH/VRSC,2762210,2471.660903820724
vETH/VRSC,2762240,2472.0444015055955
vETH/VRSC,2762270,2450.327755935127
vETH/VRSC,2762300,2447.4633707617454
vETH/VRSC,2762330,2447.4633707617454
vETH/VRSC,2762360,2447.4633707617454
vETH/VRSC,2762390,2447.45880342223
vETH/VRSC,2762420,2447.45880342223
vETH/VRSC,2762450,2447.45880342223
vETH/VRSC,2762480,2438.906075428594
vETH/VRSC,2762510,2438.906075428594
vETH/VRSC,2762540,2438.906075428594
vETH/VRSC,2762570,2438.771732148258
vETH/VRSC,2762600,2428.689712001064
vETH/VRSC,2762630,2428.689712001064
vETH/VRSC,2762660,2456.94789281006
vETH/VRSC,2762690,2427.9241140014938
vETH/VRSC,2762720,2430.6632089997024
vETH/VRSC,2762750,2430.4888672636234
vETH/VRSC,2762780,2433.9757485334676
vETH/VRSC,2762810,2433.9757485334676
vETH/VRSC,2762840,2433.985178988221
vETH/VRSC,2762870,2412.935170190213
vETH/VRSC,2762900,2469.874276385259
vETH/VRSC,2762930,2444.4561302653387
vETH/VRSC,2762960,2444.4561302653387
vETH/VRSC,2762990,2444.4561302653387
vETH/VRSC,2763020,2473.490387488294
vETH/VRSC,2763050,2473.490387488294
vETH/VRSC,2763080,2473.490387488294
vETH/VRSC,2763110,2462.296745959096
vETH/VRSC,2763140,2357.665718808776
vETH/VRSC,2763170,2357.665852799158
vETH/VRSC,2763200,2353.083121371474
vETH/VRSC,2763230,2336.3995199737624
vETH/VRSC,2763260,2302.554260562596
vETH/VRSC,2763290,2313.4361022879148
vETH/VRSC,2763320,2313.4361022879148
vETH/VRSC,2763350,2345.3468773646327
vETH/VRSC,2763380,2345.3468773646327
vETH/VRSC,2763410,2345.3468773646327
vETH/VRSC,2763440,2345.3419592739997
vETH/VRSC,2763470,2345.3419592739997
vETH/VRSC,2763500,2345.3419592739997
vETH/VRSC,2763530,2345.3419592739997
vETH/VRSC,2763560,2345.3419592739997
vETH/VRSC,2763590,2345.3419592739997
vETH/VRSC,2763620,2379.412292794969
vETH/VRSC,2763650,2379.412292794969
vETH/VRSC,2763680,2365.3044581066074
vETH/VRSC,2763710,2374.00880822407
vETH/VRSC,2763740,2374.00880822407
vETH/VRSC,2763770,2374.37258999028
vETH/VRSC,2763800,2373.5851503102613
vETH/VRSC,2763830,2373.5851503102613
vETH/VRSC,2763860,2373.5851503102613
vETH/VRSC,2763890,2317.068022278614
vETH/VRSC,2763920,2317.068022278614
vETH/VRSC,2763950,2317.068022278614
vETH/VRSC,2763980,2317.068022278614
vETH/VRSC,2764010,2317.068022278614
vETH/VRSC,2764040,2317.068022278614
vETH/VRSC,2764070,2439.6149229509074
vETH/VRSC,2764100,2439.6149229509074
vETH/VRSC,2764130,2439.6149229509074
vETH/VRSC,2764160,2439.6149229509074
